operator,num_of_crashes
Frigorifico Cooperativo Los Andes,1
Frigorifico Maniqui,1
Frigorifico Reyes,1
Frigorifico Santa Rita,1
Frontier Air,1
Hang Khong (Vietnam),1
Harbour Air,1
Hargreaves Airways,1
Harka Air Services,1
Harrington's Inc,1
Hati Express,1
Heart of Texas Hot Air Balloon Rides,1
Heavylift Cargo Airlines,1
Helaire Helicopter,1
Heliandes,1
Helicol Colombia,1
Helicopteros Nacionales de Colombia,1
Helicopters Inc / KOMO TV,1
Helicsa,1
Helikopter Service,1
Helios Airways,1
Heli-USA Airways,1
Hellenic Air Force,1
Henan Airlines,1
Herfurtner Company,1
Heringer Air Taxi,1
Heringer Taxi Aero,1
Hevlift,1
Fuerza AÃƒÂ©rea de Chile,1
GAS Air,1
General Air,1
Fuerza AÃƒÂ©rea Nicaragua,1
Fuerza AÃƒÂ©rea Panamena,1
Fuerza AÃƒÂ©rea Uruguaya,1
Grands Express Aeriens (Air Union),1
Great Lakes Business Complany,1
Great Western and Southern Air Lines,1
Greek Air Force,1
Greek Army,1
Greek Government,1
Greylock Airways / Private,1
GT Air,1
Guardia Nacional de Venezuela,1
Guatemalan Air Force,1
Guernsey Airways,1
Guicango,1
Guiena Airways,1
Huron Air,1
IAS Cargo,1
Hamilton Aviation,1
Horizon Properties,1
Hornbill Airways,1
Hoseba,1
Houston Metro Airlines,1
Hunter Airways,1
Inair Panama,1
Independent Air Travel,1
Illegal flight,1
Iberia Airlines / Aviaco,1
Ibertrans AÃƒÂ©rea,1
Hibiscus Air,1
Hillman's Airways,1
HiTech Helicopters,1
Holdens Air Transport Service,1
Holmstoem Air,1
Holyman Airways,1
Gulf Aviation (Kalinga Airways),1
Gum Air Charter,1
Guyana Airways,1
HaÃƒÂ¯ti Air Inter,1
German Air National Guard,1
Georgian Air,1
Grand Canyon Airlines / Helitech,1
Guinea Airways Limited,1
Kasthamandap Airlines,1
Kata Transportation,1
Katekavia Airline,1
Kavatshi Airlines,1
Kazakhstan border guard service,1
Kazakhstan Border Guards,1
Kelowna Flightcraft Air Charter,1
Kenting Air,1
Kenya Air Force,1
Junction City Fire Department,1
Japanese Air Force,1
Japanese Air Self-Defence Force,1
Johnson Flying Service,1
Jordan International Airlines,1
JS Air,1
Ju Air,1
Jet Avia Charter,1
Jet One Express,1
Jet Pro,1
Japan Air Self Defense Force,1
Japan Air Self-Defence Force,1
Japan Aviation Corporation,1
Island Express Helicopter Service,1
Islands of the Bahamas Inc,1
Israel  Air Force,1
Israel Air Force,1
Japan Air / Japan Flying School,1
Itek Air,1
Jack Harter Helicopters,1
Iran Aseman Airlines,1
Iran Asseman Airlines,1
Indian Airlines/Alliance Airlines,1
Iraqi Airways,1
IrAvia,1
IRS Aero,1
Indian National Airways,1
Indian Navy,1
Islamic Revolution's Guards Corps,1
Interior Airways,1
Inter-Island,1
Interisland Airlines,1
International Air Freight,1
International Control Commision,1
Interocean,1
Interstate Airlines,1
Inuvik Coastal Airways,1
Invicta International Airlines (UK),1
Indonesian Army,1
Indonesian Police,1
Inex Adria Aviopromet,1
Inex Adria Aviopromet (Yugoslavia),1
Inex Adria Aviopromet / British Airways,1
Interamericana de Aviacion,1
Intercontinental de Aviacion,1
Kodiak Western Alaska Airlines,1
Kogalmavia,1
Komala Air,1
Komi Avia,1
LANC Colombia,1
Lancashire Aircraft Corporation (Skyways),1
Lao Cathay Airlines,1
Lao People's Liberation Army Air Force,1
Laoag International Airlines,1
Laos Air,1
Laos Air Force,1
"LAPA, Lineas Aereas Privadas Argentinas",1
Lao Airlines,1
Laser Aereo Colombia,1
L'ArmÃƒÂ©e de L'Air,1
Lina Congo,1
Linea AÃƒÂ©rea Mexicana de Carga,1
Linea AÃƒÂ©rea Nacional,1
Linea Aerea Nacional de Chile,1
Lauda Air,1
Laurentian Air Services,1
Lebanese International Airways,1
Leeward Islands Air Transport,1
L'Express Airlines,1
Liard Air,1
Liberty Helicopter Sightseeing Tours / Private,1
Liberty Helicopters,1
Libya Arab Airlines,1
Libyan Air Cargo,1
Lider Air Taxi,1
LifeNet,1
LAC Columbia,1
LACOL,1
LACSA,1
LADE,1
Ladeco,1
LÃƒÂ­neas AÃƒÂ©reas Suramericanas,1
Lake Central Airlines,1
Lake Havasu Air,1
Lambair,1
LAMIA Bolivia,1
Kranoyarskie Vozhjushnye Trassy,1
Krasnoyarsk Airlines,1
Krasnoyarskie Avialinii,1
Kuban Airlines,1
Kuwait Air Force,1
Kuwait Airways,1
L & J Company,1
La Tecoere Company,1
Labradore Airways,1
Kenyan Air Force,1
Khalatyrka,1
Khors Aircompany,1
Kiev Production Association,1
Kirghizia Aba Zaoldoru,1
Kisangani Airlift,1
Kish Airlines,1
KLM Cityhopper,1
KLM Royal Duch Airlines,1
Knowles Flying Service of Detroit,1
Knight Air,1
Kalinin,1
Kam Air,1
Kamchatavia,1
Kamchatka Airlines,1
Kansas City Southern Skyways,1
Kappel-Van Eyck Airways,1
Mozambique Airline,1
Munz Northern Airlines,1
Mustang Aviati,1
Mustique Airways,1
My Cargo Airlines (ACT Airlines),1
Myanmar Air Force,1
Nacional de Aviacion,1
Naftogaz,1
Nahanni Air Services,1
NARZ,1
Naske Air,1
Nationair (chartered by Nigeria Airways),1
Mongolian Defense Ministry,1
Monmouth Airways,1
Morton Air Services,1
Moskovia Airlines,1
Mountain Air Cargo,1
Mountain Lifeflight,1
Moldovan Aeriantur-M Air Cargo,1
Monarch Aviation,1
Million Air,1
National Airways,1
National Helicopters,1
National Parks Airways,1
Nationwide Air Transport,1
Naure Air,1
Navegacao Aerea Brasileira,1
Navy,1
Necon Air,1
Nepal Airlines,1
New  York Helicopter,1
New England Airlines,1
New England Airways,1
New England Aviaiton,1
New Guinea Air Traders,1
New Standard Airlines,1
Mid Continent Airlines,1
Mid Pacific Air,1
Middle States Airlines,1
Midwest Express,1
Military -Fuerza Aerea Colombiana,1
MMM Aero Services,1
Mineral County Airlines,1
Minerva Airlines,1
Ministerstvo Obshchestvo Mashinostroyeniya,1
Misair,1
Maryland State Police,1
MASwings,1
Meteor Air,1
Metro Air Systems,1
Metro Cargo,1
Metrojet,1
Mavrik Aire Transport,1
Med-Trans Corporaion,1
Mercer Airlines,1
Mercury Aviation,1
Mercy Air Services,1
Marsland Aviation,1
Marco Zero Air Taxi,1
Marine Airways,1
Mango Airlines,1
Maniema Union (owner Victoria Air),1
Manila Aero Transport System,1
Mannin Airways,1
Manunggal Air,1
Manx2,1
ManacÃƒÂ¡ TÃƒÂ¡xi AÃƒÂ©reo,1
Manchurian Air Lines,1
Malindi Air Services,1
LOT,1
Malaysian Air Force,1
MALERT,1
Malert Airlines,1
Lufthansa Cargo Airlines,1
Lufthansa Cityline,1
Luftwaffe,1
Lumbini Airways,1
Luxair,1
Lybian Arab Air Force,1
Mabuhay Airways,1
Mac Roberston-Miller Airlines,1
Mac Robertson Miller Airlines,1
Macchi,1
Macedonian Air Force,1
MacRobertson Miller Airlines,1
Madagascar Air Force,1
Maddux Airlines,1
Magistralnye Avialinii,1
Magyar Legiforagalmi,1
Mainline Aviation,1
Majestic Air Cargo,1
Majuba Aviation,1
Lone Star Airlines,1
Lloyd Aereo Colombiano,1
Lloyd Aero Boliviano,1
Lloyd Aero Boliviano SA,1
Lockheed AC-130H Hercules,1
Lineas Aereas Suramericanas,1
Lineas Aereas Unidas,1
Lineas Areas del Centro,1
Lineas Areas Unidas,1
Lineas Areas Venezolanas,1
Lionair,1
Living Water Teaching Ministries Charter,1
Linjeflyg,1
Lineas AÃƒÂ©reas Sud Americana,1
Lineas AÃƒÂ©reas Suramericanas,1
Lineas Aereas,1
Lineas Aereas Comerciales,1
Lineas Aereas de Angola,1
Lineas Aereas de Espana/Spantax SA Transportes,1
Lineas Aereas del Caribe,1
Lineas Aereas Mineras,1
Lineas AÃƒÂ©reas Mineras,1
Linea Expresa Bolivar,1
Lineas AÃƒÂ©reas Brasil,1
Lineas AÃƒÂ©reas Cave,1
Lineas AÃƒÂ©reas Costarricenses,1
Lineas AÃƒÂ©reas Costarricenses  LACSA,1
Lineas AÃƒÂ©reas Interpolar,1
Paraense Transportes Aereos,1
Parajump air show,1
Paramount Airlilnes,1
Parsa,1
Partnair,1
PAS,1
Pathet Lao Airlines,1
Patuxent Airways / Private,1
Paukn Air,1
Pavair,1
Pel Air,1
Panair do Brasil SA,1
Panair do Brazil,1
Panama Airways,1
Papillon,1
Papillon Grand Canyon Helicopters of Las Vegas,1
Paradise Airlines,1
Paradise Tour Helicopters,1
Pan African Airlines,1
Pan American Airways (Scadta),1
Palair Macedonian,1
Palwaukee,1
Pamir Airlines,1
Pakistan Airways,1
Pacific Southwest Airlines / Private,1
Page Airways,1
Pakair,1
Philippine Air Express,1
Petroleum Helicopters Inc,1
Petrolium Helicopter,1
Petropavlovsk-Kamchatsky Air Enteprise,1
PetroproducciÃƒÂ³n,1
PHI Air Medical,1
Pinnacle Airlines/Northwest Airlink,1
Pioneer Airlines,1
Piquiatuba Taxi Aereo,1
Plane Sailing,1
Planemasters,1
PMT Air,1
Points North Air Services,1
Peruvian Army Aviation,1
Peruvian Naval Aviation,1
Peoples Air Force,1
People's Liberation Army,1
Perimeter Airlines,1
Permaviatrans,1
Perris Valley Aviation,1
PenAir,1
Peninsular,1
Pennsylvania Airlines,1
Pan American World Airways / KLM,1
Pan International,1
Pan Malaysian Air Transport,1
Nuna Air,1
Nurnberger Flugdienst,1
Nusantara Buana Air,1
Ocean Airlines,1
Oefag Flugdienst,1
Oeste Linhas Aereas,1
Ohana Helicopter Tours,1
Okada Air,1
Okanagan Helicopters,1
Northwest Airways,1
Niger Air Force,1
Olympic Aviation,1
Omniflight Helicopters,1
One-Two-Go Airlines,1
Ontario Hydro,1
Onzeair,1
Orient Air System and Integrated Services,1
Oriental Airlines,1
Ornge Air Ambulance,1
Overseas National Airways,1
Overtec Company,1
Ozark Air Lines,1
Ozark Air Lines / Private,1
Pacific Air,1
Pacific Northern Airlines,1
Pacific Overseas Airways,1
Pacific Airways,1
Pacific Alaska Air Freight,1
Pacific Alaska Airlines,1
Nile Delta Air Services,1
NLM (Nederlandse Luchtvaart Maatschappij),1
NOAR Linhas AÃƒÂ©reas,1
Nordair,1
Nordchurchaid,1
Northern Air Cargo,1
Northern Executive Aviation,1
Northern Illinois Flight Center,1
Northern Wings,1
Northwest Airlines,1
Northwest Airlines/ Northwest Airlines,1
National Air Operators,1
National Air Transport Services,1
NewCal Aviation,1
NHR TÃƒÂ¡xi-AÃƒÂ©reo,1
Nordeste Linhas Aereas,1
Norilsk Flight Company,1
Norte Jet TÃƒÂ¡xi AÃƒÂ©reo,1
North Bay Charter,1
North Canada Air,1
North Central Airlines,1
North Central Airlines / Air Wisconsin,1
North Central Airlines / Private,1
North Coast Aviation,1
North Continental Airlines (Robin Airlines),1
North East Bolivian Airways,1
North Pacific Airlines,1
North Queensland Airways,1
North Sea Aerial and General Transport,1
North Star Air Cargo,1
North Western Air Transport,1
Sabeni,1
Sadai,1
SADELCA,1
Sadia,1
SAESA,1
Sahara,1
Saint Lawrence Airways,1
Safari Express Cargo,1
Safe Air Cargo,1
Safe Air Complany,1
Saha Air,1
"Russian, cargo",1
Rutaca Airlines,1
Rutas AÃƒÂ©reas Nacionales SA,1
Rutas Internacionales Peruanes,1
Rwanda Government,1
Rwandair,1
Ryan Air Services,1
Ryan Blake Air Charter,1
Ryan International Airlines,1
SA Airlink,1
SA Amazonica,1
RRC Air Service,1
Rubner Flying Service,1
Ruiban & Duran Compania AÃƒÂ©rea,1
Rumo Notre Air Taxi,1
RusAir Airlines,1
Russ Air Transport Company,1
Russian Air Force/Uzbekistan Airways,1
Russian Army,1
Russian Ministry of Interior,1
SAMSA,1
SAN Ecuador,1
Sankuru Air Service,1
SANSA,1
Santa Barbara Airlines,1
Saratov Airlines,1
Sarit Airlines,1
Sasco Air Lines,1
Saskatchewan Government Northern Air Operations,1
Salvadoran Air Force,1
Saudi Arabian Airlines / Kazakhstan Airlines,1
Saudi Arabian Royal Flight,1
Savannair,1
Sea Airmotive,1
Seair Seaplanes,1
Seattle Air Charter,1
SeaWind Aviation,1
Security Air,1
Scandinavian Airlines (SAS) / Private,1
Scarta,1
SCAT Air,1
Scenic Air Lines,1
Scenic Air Tours,1
Scenic Airlines,1
Scibe Airlift Cargo Zaire,1
Scoala Superioara de Aviatie Civla,1
President Airlines,1
Prestige Airlines (Cargo) Charter,1
Price Aircraft Company,1
Phoenix Airlines,1
Phoenix Aviation,1
Pickwick Airways,1
Private KNBC Los Angeles,1
Procuradoria General de la Republica,1
ProcuradurÃƒÂ­a General de la RepÃƒÂºblica,1
Professional Aviation Services,1
Promech Air,1
Propair,1
Proteus Air / Private,1
Provincial Airlines,1
PT Air Regional,1
Ptarmigan Airways,1
Pulkovo Airlines,1
Pulkovo Aviation Enterprise,1
Purdue Reasearch Foundation,1
Regional Airlines,1
Regional Compagnie Aerienne Europeenne,1
Renan Airways,1
REAL Transportes Aereos,1
Red Wings Airlines,1
Rediske Air,1
Reeder Flying Service,1
Reeve Aleutian Airlines,1
Reeve Aleutian Airways,1
RÃƒÂ©seau AÃƒÂ©rien Interinsulaire,1
Rainbow King Lodge,1
RAM,1
Polyarnya Aviatsiya,1
Royal Hellenic Air Force,1
Royal Air Laos/PENAS,1
Royal Airship Works,1
Royal Netherlands East Indies Air Force,1
Royal Netherlands Naval Air Service,1
Royal Norwegian Air Force,1
Royal Lao Air Force,1
Royal Lesotho Defence Force,1
Royal Moroccan Air Force,1
Rimouski Airlines,1
Rinaldo Piaggio,1
Robinson Airlines,1
Rocky Mountain Airways,1
Romainian Air Force,1
Romanian Banat Air,1
Rotorcraft Leasing Co,1
Rousseau Aviation,1
Rovos Air,1
Resort Airlines,1
Reynolds Airways,1
Rhodesian Air Services,1
Richmor Aviation,1
Rico Linhas Aereas,1
Rico Taxi AÃƒÂ©reo,1
Rico Taxi Aero,1
TRACEP Congo Aviation,1
Trafik-Turist-Transportflyg,1
Tranair,1
Trans Air Cargo,1
Trans Air Services,1
Tiramavia,1
Titan Airways,1
TMK Air Commuter,1
Toa Domestic Airline (Japan),1
Total  Air Lines,1
TPI International Airways,1
Tararstan Airlilnes,1
Thai Army,1
Thai International,1
TARS,1
Tartarstan Airlines,1
Tashkent Aircraft Production Corporation,1
TASSA,1
TAUSA,1
Trans International Airlines,1
Trans Isle Air,1
Trans Luxury Airlines,1
Trans Canada Air Lines / RCAF,1
Trans Caribbean Airways,1
Trans Colorado AL / Continental Express,1
Transaereo 5074,1
Trans World Airlines / Eastern Air Lines,1
Taxi Aereo de Santander,1
Team Air,1
Techint  group,1
Temsco Airlines,1
Tentara Nasional Indonesia Navy,1
Tepper Aviation,1
Texas International Airlines,1
TAP (Air Portugal),1
TAPSA,1
Taquan Air Service,1
TAR,1
TAN Honduras,1
TanaMana Aviation,1
TANS,1
TANS Airlines,1
TANS Peru,1
Tanzania Aviation,1
TAMPA Colombia,1
TAMU,1
TAM Paraguay,1
Talia Airways,1
Taliban Militia,1
Taiwan Aviation,1
TAM (Peru),1
TAM (Transportes Aereos Militares),1
Ukraine Aviation Transport Company,1
Ukranian-Mediterranean Airlines,1
Ukvozduchput,1
Uni Air,1
Unified Yemen Air Force,1
Union AÃƒÂ©romaritime de Transport,1
Transoriente Colombia,1
Transpolar,1
Transport Aerien Intercontinentaux (France),1
Transport Arien Transregional,1
Transporte Aereo Federal,1
Transportes AÃƒÂ©reos de Timor,1
Turkish Airlines THY,1
Turkish Army (NATO),1
Turuhan Avia,1
TVPX Aircraft Solutions,1
Two Taxi Aero,1
Tyee Airlines,1
Tyumen Aviatrans,1
Uganda Airlines,1
Ukraine Air Alliance,1
Union des Transports Aeriens de Guinee,1
Transaven,1
Transaviaexport Airlines,1
United Express,1
United Express  / Private,1
United Nations,1
United Nations Charter,1
United Nations Mission,1
United Parcel Service,1
United Parcel Service- UPS,1
Transportes AÃƒÂ©reos Salvador,1
Transportes Aereos del Caribe,1
Transportes Aereos Mexicanos,1
Transportes Aereos Nacionales,1
Transportes Aereos Orientales,1
Transportes Aereos Pegaso,1
Transportes Aereos Peruanos,1
Transportes Areos Nacionales,1
Transportno Aviatsionno Bulgaro-Soviet Obshchestvo,1
Transporturile Aeriene Romane (TAROM),1
Transporturile Aeriene Romano-Sovietice,1
TriCoastal Air,1
Tropical Airways,1
TsAGI,1
Tundra Copters,1
Tuninter,1
Tura Air Enterprise,1
Turkish Air Force,1
Turkish Air ForceC-47,1
Turkish Airlines,1
Transamerican Air Transport,1
Transamerican Airlines,1
Transasia,1
Transair Sweden,1
Transamazonica,1
Transair,1
Trans-Canada Air Lines,1
Transcontinental,1
Transcontinental &Western Air,1
Transfair,1
Trans-Luxury Airlines,1
Transmandu,1
Transmeridian Air Cargo,1
Transniugini Airways,1
Sudania Air Cargo,1
SUDENE,1
Sukhoi,1
Summit Air,1
Summit Air Charters,1
Sun Way,1
Sunbird Aviation,1
Sundance Helicopters,1
Sunflower Airlines,1
Suomen Urheiluilmailijat,1
Superior Aviation,1
Surinam Airways,1
Survair,1
Svedijos PrekÃƒÂ©s,1
Svenska Aero,1
Swan Aviation,1
Swedish Air Force,1
Swifair,1
TAG Airlines,1
Syrian Air Force,1
TACA International Airlines,1
TACV-Cabo Verde Airlines,1
Tadair,1
Syrian Arab Airlines,1
T & G Aviation,1
TAA,1
TABSO,1
TAC Colombia,1
Strait Air,1
Straits Air Freight Express,1
Strato Freight,1
Stratofreight,1
Spartan Air Services,1
Speed Service Couriers,1
Spencer Airways / Ceskoslovenske Aerolinie,1
Spokane Airways,1
Sri Lankan Air Force,1
STAAP,1
Staer Air,1
Standard Airlines,1
STAP,1
Star Aviation,1
Starair,1
Starways,1
Starwood Management LLC,1
STASA,1
State Airlines,1
Stavropol Airlines,1
Southwest Airlift,1
Southwest Airways,1
Soviet Navy,1
Sowind Air,1
Spair Air Transport,1
Spanair,1
Spanish Air Force,1
Southern Cross Airways,1
SL Aviation Services,1
Sosoliso Airlines,1
Skyline Sweden,1
Skyline Transportation Company,1
Skylink Airlines,1
Sierra Pacific Airlines,1
Silk Way Airlines,1
SilkAir,1
Skyvan Airways,1
Skyward International Aviation,1
Sepahan Airlines,1
Slovak Air Force,1
Smoky Mountain Helicopters,1
Snow Valley Ski Lines,1
Sobelair SA (Belgium),1
SociÃƒÂ©tÃƒÂ© Auxiliare de Navigation AÃƒÂ©rienne,1
SociÃƒÂ©tÃƒÂ© de Transports AÃƒÂ©riens,1
Societa Aerea Mediterranea,1
Societa Anonima Aero Expresso Italiana,1
SocietÃƒÂ  Aerea Teseo,1
Societe Aerienne du Littoral,1
Societe Alpes Provence,1
Societe France Hydro,1
Societe Indochinoise de Raviteillement,1
Societe Indochinoise de Transport Aeriens,1
Societe Transatlantique Aerienne,1
Socotra,1
SOL Lineas Aereas,1
Soldotna Air Services,1
"South African Airways, leased from British Overseas Airways",1
South Airlines,1
South Central Airlines,1
South Pacific Island Airways,1
Southcentral Air,1
Southeast Airlines,1
Southern Air Transport,1
Servicio AÃƒÂ©reo Panini,1
Servicio Aereo Columbiano / SCADTA,1
Servicio Aereo Manchupo,1
Servicio Aereo Nacional,1
Servicio Expresso Nacional,1
Servicios AÃƒÂ©reos Boliviano,1
Servicios AÃƒÂ©reos Cochabamba,1
Servicios AÃƒÂ©reos Especiales,1
Servicios Aereas Virgen de Copacabana,1
Servicios Aereos Martinez Leon,1
Servicios Aereos Nacionales,1
Servicios Aereos Nacionales Airways,1
Servicios Aereos Santa Ana,1
Servicios Aeronauticos Sucre (SASCA),1
Servicios Americanos,1
Simmons Airlines,1
Singapore Airlines,1
Sita Air,1
Sky Cabs,1
Sky Dive New Zealand,1
Sky Executive Air Services,1
Sky Train Air,1
Skycraft Air Transport,1
skydiving,1
Shangri La Air,1
Shanxi Airlines,1
Shell Co of Ecuador,1
Shelter Cove Sea Park,1
Siamese Airways,1
Sibir (S7),1
SELVA Colombia,1
Selva Taxi Aero,1
SEMAF,1
Sempati Air,1
VOTEC / VOTEC,1
Walcot Air Line,1
Wasa Wings,1
Wasaya Airways,1
Weasua Air Ttansport,1
Wedell-Williams Air Service Corporation,1
Wehite Cap Aviation,1
Wenela Air Services,1
West African Airways,1
West Air Sweden,1
West Australian Airways,1
Viking Air Transport,1
Village Airways,1
Vincent Aviation,1
Virgin Islands Airways,1
Vladivostokavia,1
Vnokovo Airlines,1
Vnukovo Airlines,1
Volare Aviation Enterprise,1
Volga Air,1
Volga-Avia Express,1
Volga-Dnepr Airlines,1
Vologodskiye Airlines,1
Vostok Aviakompania,1
Vertical-T Air,1
VIARCO,1
Victoria Air,1
Victoria Airlines,1
Vehu Akat,1
Venezolana,1
Venezolana Internacional de Aviacion,1
USA Jet Airlines,1
Varney Airlines,1
VASP / Private,1
Universal Airways,1
United Airways of New Zealand,1
United Air Services,1
University of Michigan Health System,1
Uralex,1
Urcupina,1
Uruguayan Air Force,1
US Airlines,1
US Airways,1
US Airways Express,1
Uzu Air,1
Valan International Cargo Charter,1
Valley Air Service,1
ValuJet,1
US Marine Air Corps,1
US Air Express/Air Midwest,1
USAir / Skywest Airlines,1
US-Bangla Airlines,1
USMC,1
USN,1
UTA,1
UTAir,1
UTAir Airlines,1
Yemeni Arm,1
Yemenia Airway,1
Wien Air Alaska,1
Zakavia,1
Zambia Air Force,1
YPF,1
YPFB Transportes Aereos,1
Zanex,1
Zantop International Airlines,1
Zimbabwe Air Force,1
Whyalla Airlines,1
West Coast Air,1
Western Helicopter,1
Western Straits Air,1
Westwing,1
Vietnam People's Army Air Force,1
Venezuelan National Guard,1
West German Air Force,1
West Wind Aviation,1
Westair Transport,1
Wigmo,1
Wilson Airways,1
Wimbi Dira Airways,1
Win Win Aviation,1
Winchester Air,1
Wings Ltd,1
Wings West Airlines / Private,1
Winship Air,1
WNBC,1
Wyoming Air Service,1
XL Airways leased from Air New Zealand,1
Yacimientos Petroliferos Fiscales,1
YAK Service,1
Yakutavia,1
Yemen Air Force,1
