operator,num_of_crashes
Vieques Air Link,2
Vietnam Airlines,2
Western Canada Airways,2
West Caribbean Airways,2
Wheeler Airlines,2
Zambian Air Force,2
Yemen Airlines,2
US Army,2
Uzbekistan Airways,2
Universal Jet Aviation,2
United Air Lines / Trans World Airlines,2
United Airways,2
United States Air Force,2
United States Army Air Force,2
United States Navy,2
Universal Airlines,2
USAF,2
Vanair,2
Vayudoot,2
Venezuelan Navy,2
VOTEC,2
Servivensa,2
Silver City Airways,2
Service Air,2
Sociedad Aeronautica Medellin,2
Senegalair,2
Skypower Express Airways,2
Sibir Airlines,2
Skyline Airways,2
Skyways,2
Skyways of London,2
Solomon Islands Airlines,2
South African Air Force,2
Southern Airways,2
Southwest Air,2
Sterling Airways,2
Syrian Airways,2
TAESA,2
Sudanese Air Force,2
Transafrik,2
Transair Georgia Airlines,2
Transamerica Airlines,2
Transportes AÃƒÂ©reos Mexicanos,2
Union Airways,2
Transasia Airways,2
Union of Burma Air Force,2
Ukraine Air Force,2
TAME Ecuador,2
TAN,2
TAO,2
Taxader Airlines,2
Trans Continental Air Transport,2
Trans Service Airlift,2
Trans World Airlines / Private,2
Trans Guyana Airways,2
Tara Air,2
Tigres Voladores,2
Tracep,2
Republic of South Korea Air Force,2
Riddle Airlines,2
Royal Jordanian Air Force,2
Royal Nepalese Air Force,2
Royal Air Lao,2
Royal Belgian Air Force,2
Royal British Navy,2
Rapid Air Transport,2
Polish Air Force,2
Quebecair,2
Queen Charlotte Airlines,2
Queensland Airlines,2
Regina Cargo Airlines,2
Polynesian Airlines,2
Portuguese Air Force,2
SAVCO,2
Savanair,2
Saturn Airways,2
Sakha Airlines,2
Salair,2
SATA,2
SATCO,2
SAM Colombia,2
Saha Airline Services,2
Royal Saudi Air Force,2
Russian,2
Sabah Air,2
Sabang Merauke Raya Air Charter,2
New Tribes Mission,2
National Air Cargo,2
Nigerian Air Force,2
Pacific Air Lines,2
Orient Airways,2
Northwest Airlink,2
Norwegian Airlines,2
Pan American Grace Airlines,2
Piedmont Airlines / Private,2
Pilgrim Airlines,2
Philippine Aerotransport,2
Pacific Southwest Airlines,2
Pacific Western,2
Pakistan Army,2
Pan African Air Charter,2
Paraense Transportes AÃƒÂ©reos,2
Lineas Aereas del Estado,2
Lineas AÃƒÂ©reas Nacionales,2
Lineas Aereas Nacionales SA (Peru),2
Loide Aereo Nacional,2
Los Angeles Airways,2
Malu Aviation,2
Mandala Airlines,2
Mauritanian Air Force,2
Martinair Holland NV,2
Loftleidir Icelandic Airlines,2
Merpati Nasantara Airlines,2
MK Airlines,2
Miami Airlines,2
Mozambique Air Force,2
Kenya Airways,2
LAC Colombia,2
LARES,2
Las Vegas Airlines,2
Italian Air Force,2
Korean Air,2
Lao Aviation,2
LAN Chile,2
Kodiak Airways,2
Indian National Airlines,2
Iranian Revolutionary Guard Corps Air Force,2
Iran Air Tours,2
Jamair,2
Island Airways,2
